DATUM;PRODUKT;DAUER;REST;BESTELLNR;BESTELLER;ABONNENT;"NR IN BESTELLUNG";"PRODUKTE IN BESTELLUNG";PRODUKTZAHL
"2013-07-16 14:36:08";"Jahresabo (EM)";365;0;"=HYPERLINK(""http://example.com/url""; ""62"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2013-07-30 17:01:52";"Jahresabo (EM)";365;0;"=HYPERLINK(""http://example.com/url""; ""98"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2013-08-15 01:12:00";"Jahresabo (EM)";365;0;"=HYPERLINK(""http://example.com/url""; ""119"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2013-08-21 16:36:31";"Jahresabo Herbert Frommes Versicherungsmonitor (E)";365;0;"=HYPERLINK(""http://example.com/url""; ""134"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-05-14 10:24:43";"Jahresabo (S)";365;45;"=HYPERLINK(""http://example.com/url""; ""345"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-06-13 00:23:05";"Jahresabo (S)";365;75;"=HYPERLINK(""http://example.com/url""; ""362"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-06-13 00:27:39";"Jahresabo (S)";365;75;"=HYPERLINK(""http://example.com/url""; ""363"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-06-13 16:30:34";"Halbjahresabo Herbert Frommes Versicherungsmonitor (SR-DVS Symposium)";183;0;"=HYPERLINK(""http://example.com/url""; ""364"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-03 10:45:25";"Dossier: Cyberrisiken (inkl. 2? Versandkosten bei Bestellung von 1-3 Exemplaren)";0;0;"=HYPERLINK(""http://example.com/url""; ""495"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-05 18:21:16";"Lohrmanns Verunsicherung: Wandkalender 2015 (inkl. 6? Versandkosten bei Bestellung von 1-3 Exemplaren)";0;0;"=HYPERLINK(""http://example.com/url""; ""516"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-05 19:32:40";"Lohrmanns Verunsicherung: Wandkalender 2015 (inkl. 6? Versandkosten bei Bestellung von 1-3 Exemplaren)";0;0;"=HYPERLINK(""http://example.com/url""; ""517"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-15 23:41:56";"Jahresabo (S)";365;169;"=HYPERLINK(""http://example.com/url""; ""543"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-19 13:32:52";"Lohrmanns Verunsicherung: Wandkalender 2015 (inkl. 6? Versandkosten bei Bestellung von 1-3 Exemplaren)";0;0;"=HYPERLINK(""http://example.com/url""; ""548"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2014-09-26 11:23:35";"Lohrmanns Verunsicherung: Wandkalender 2015 (inkl. 6? Versandkosten bei Bestellung von 1-3 Exemplaren)";0;0;"=HYPERLINK(""http://example.com/url""; ""557"")";"=HYPERLINK(""http://example.com/url""; ""sss@mailinator.com"")";"=HYPERLINK(""http://example.com/url""; ""sss@mailinator.com"")";1;1;
"2015-02-14 18:15:55";"Jahresabo (S)";365;321;"=HYPERLINK(""http://example.com/url""; ""732"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2015-01-31 11:06:16";"Halbjahresabo (S-6M)";180;122;"=HYPERLINK(""http://example.com/url""; ""733"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2015-01-31 11:06:16";"Halbjahresabo (S-6M)";180;122;"=HYPERLINK(""http://example.com/url""; ""734"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
"2015-03-19 23:05:55";"Jahresabo (S)";365;354;"=HYPERLINK(""http://example.com/url""; ""767"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";"=HYPERLINK(""http://example.com/url""; ""sss@gmx.info"")";1;1;
